,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
2200,1274,n_tty_write_drivers%tty%n_tty_4291086b1f081b869c6d79e5b7441633dc3ace00_CVE-2014-0196,90.0,24.0,2517.0,496.0,1.0,125.0,1.0,19.0,4.0,12.0,71.0,6.0,19.0,0.0,0.0,0.0,8.0,0.16666666666666666,6.0,0.0,0.0,True,drivers/tty/n_tty.c,n_tty_write,0,7,1,5,109,2014
2201,1275,dn_fib_rtm_delroute_net%decnet%dn_fib_90f62cf30a78721641e08737bda787552428061e_CVE-2014-0181,25.0,5.0,788.0,163.0,10.0,36.0,3.0,18.0,2.0,13.0,24.0,0.0,0.0,0.0,0.0,0.0,54.0,1.9864864864864864,13.666666666666664,6.036036036036037,6.036036036036037,True,net/decnet/dn_fib.c,dn_fib_rtm_delroute,10,15,8705,119390,36,2014
2202,1276,skb_segment_net%core%skbuff_1fd819ecb90cc9b822cd84d3056ddba315d3340f_CVE-2014-0131,194.0,27.0,3942.0,485.0,34.0,398.0,6.0,119.0,2.0,57.0,101.0,0.0,0.0,0.0,0.0,0.0,19.0,1.1979166666666667,6.166666666666668,1.4131944444444444,1.4131944444444444,True,net/core/skbuff.c,skb_segment,59,114,130,172,63,2014
2203,1277,inode_change_ok_fs%attr_23adbe12ef7d3d4195e80800ab36b37bee28cd03_CVE-2014-4014,64.0,20.0,278.0,58.0,10.0,40.0,4.0,29.0,2.0,10.0,4.0,22.0,19.0,0.0,0.0,0.0,32.0,0.19188596491228072,24.5,1.0572368421052631,1.0572368421052631,True,fs/attr.c,inode_change_ok,17,42,8705,119390,39,2014
2204,1278,__udf_read_inode_fs%udf%inode_c03aa9f6e1f938618e6db2e23afef0574efeeb65_CVE-2014-6410,270.0,56.0,2266.0,342.0,5.0,105.0,3.0,35.0,1.0,26.0,40.0,17.0,41.0,5.0,0.0,0.0,10.333333333333334,0.2238562091503268,9.666666666666666,0.6274509803921569,0.6274509803921569,True,fs/udf/inode.c,__udf_read_inode,26,94,8705,119390,191,2014
2205,1279,rtnl_newlink_net%core%rtnetlink_90f62cf30a78721641e08737bda787552428061e_CVE-2014-0181,199.0,54.0,2900.0,556.0,11.0,283.0,5.0,82.0,2.0,40.0,90.0,5.0,8.0,0.0,0.0,0.0,49.6,2.002418207681365,12.6,5.8777619724988135,5.8777619724988135,True,net/core/rtnetlink.c,rtnl_newlink,10,140,93,335,3,2014
2206,1280,check_sticky_fs%namei_23adbe12ef7d3d4195e80800ab36b37bee28cd03_CVE-2014-4014,13.0,4.0,4462.0,817.0,6.0,661.0,4.0,100.0,2.0,3.0,112.0,0.0,3.0,0.0,0.0,0.0,32.0,0.19188596491228072,24.5,1.0572368421052631,1.0572368421052631,True,fs/namei.c,check_sticky,5,10,8705,119390,82,2014
2207,1281,trap_init_arch%x86%kernel%traps_6f442be2fb22be02cafa606f1769fa1e6f894441_CVE-2014-9322,77.0,3.0,849.0,94.0,4.0,166.0,2.0,54.0,0.0,4.0,27.0,14.0,0.0,0.0,0.0,0.0,51.5,0.4,18.0,0.5666666666666667,0.5666666666666667,True,arch/x86/kernel/traps.c,trap_init,12,20,6,17,24,2014
2208,1282,dn_fib_rtm_newroute_net%decnet%dn_fib_90f62cf30a78721641e08737bda787552428061e_CVE-2014-0181,25.0,5.0,788.0,163.0,11.0,36.0,3.0,18.0,2.0,13.0,24.0,0.0,0.0,0.0,0.0,0.0,54.0,1.9864864864864864,13.666666666666664,6.036036036036037,6.036036036036037,True,net/decnet/dn_fib.c,dn_fib_rtm_newroute,10,15,8705,119390,36,2014
2209,1283,tc_get_qdisc_net%sched%sch_api_90f62cf30a78721641e08737bda787552428061e_CVE-2014-0181,64.0,20.0,1933.0,387.0,24.0,162.0,5.0,44.0,2.0,20.0,63.0,0.0,2.0,0.0,0.0,0.0,53.0,2.453003003003003,12.6,6.049399399399401,6.049399399399401,True,net/sched/sch_api.c,tc_get_qdisc,10,56,8705,119390,7,2014
